Train_Percentage,Accuracy,TER,Precision,Recall,F1
10,0.818877752347881,0.18112224765211904,0.824077147305493,0.818877752347881,0.8142788112624061
20,0.8519453871044117,0.1480546128955883,0.855978106190391,0.8519453871044117,0.8477525690846017
30,0.8645726461999842,0.1354273538000158,0.8682615783890892,0.8645726461999842,0.8604046141372725
40,0.8786204719438087,0.12137952805619134,0.8805815522741144,0.8786204719438087,0.8754178804577111
50,0.8983505642806409,0.10164943571935914,0.8993028607766288,0.8983505642806409,0.8968727146944525
60,0.9064793623234156,0.09352063767658436,0.9072065948299918,0.9064793623234156,0.9056048852071379
70,0.917133612185305,0.08286638781469502,0.9177867031994532,0.917133612185305,0.916732164082917
80,0.922658038039618,0.07734196196038201,0.9236190051822732,0.922658038039618,0.9225101956819484
90,0.9316549601452134,0.06834503985478657,0.9325433252161548,0.9316549601452134,0.9316825631100004
100,0.9352852971351906,0.0647147028648094,0.936219149862689,0.9352852971351906,0.9353560602427934
